Data;Obs;Hora_Coleta;P24h;P72h;P1_pH;P2_pH;P2i_pH;P2ii_pH;P3_pH;P1_Cond;P2_Cond;P2i_Cond;P2ii_Cond;P3_Cond;P1_Temp_Ag;P2_Temp_Ag;P2i_Temp_Ag;P2ii_Temp_Ag;P3_Temp_Ag;P1_OD;P2_OD;P2i_OD;P2ii_OD;P3_OD;Dif_3_1;P1_Turb;P2_Turb;P2i_Turb;P2ii_Turb;P3_Turb;P1_P;P2_P_;P2_P;P3_P;P1_NH4;P2_NH4;P3_NH4;P1_NO2;P2_NO2;P3_NO2;P1_NO3;P2_NO3;P3_NO3;P1_DBO;P2_DBO;P3_DBO;P1_CT;P2_CT;P3_CT;P1_CF;P2_CF;P3_CF;P1_ST;P2_ST;P3_ST;P1_Po;P1_P2;P2_Po;P2_P2;P3_Po;P3_P2;Altura_da_regua_1;Altura_da_regua_2;Lâmina de água (cm);Q (l/s);Vel (cm/s);HRT (h);Temp;Radiacao;P_hor;P24h;P72h;Temp Media 24h (ºC);Temp Min24 h (ºC);Temp Max 24 h (ºC);Rad Media 24 h (W/m2);RadMin24 h;Rad Max 24 h (W/m2);Mes_;Est_;Data_hora_coleta;P2h;P6h;P12h;i_Qual1;i_Qual2;i_Vazao;i_Med_alt;i_Poda;ip24h;ip72h;i2p24h;i2p72h;P1_CF_log;P2_CF_log;P3_CF_log;"P24h(0;1)"
31/10/2022;;16:30;2,4;2,6;6,6;;;;7;256;;;;235;22,1;;;;22;3,22;;;;3,49;0,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25,1;423;0;2;3;25,3;21,8;32,6;116;0;491;10;PRI;10/31/2022 16:30:00;0;0;0;1;1;1;0;0;-;-;1;1;;;;>0
01/11/2022;;16:30;1,2;3,6;6,4;;;;6;274;;;;259;22;;;;23,3;2,69;;;;;-2,69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16,2;245;0;1;4;17,2;14,5;23,7;71;0;277;11;PRI;11/01/2022 16:30;0;0;0,2;1;1;1;0;0;-;-;1;1;;;;>0
02/11/2022;FINADOS;;0;3,6;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20,8;1100;0;0;4;16,2;14,8;20,8;216;0;1100;11;PRI;;0;0;0;1;1;1;0;0;-;-;-;1;;;;-
03/11/2022;;16:30;0;1,2;8;;;;7;358;;;;255;16,5;;;;16,7;2,58;;;;;-2,58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21,4;1076;0;0;1;17,5;13,9;21,4;310;0;1087;11;PRI;11/03/2022 16:30;0;0;0;1;1;1;0;0;-;-;-;1;;;;-
04/11/2022;;;0;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16,9;17,5;0,6;0,33;;;22,1;1100;0;0;0;18,1;13,6;22,1;349;0;1100;11;PRI;;0;0;0;1;1;1;0;0;-;-;-;-;;;;-
05/11/2022;FINAL DE SEMANA;;0;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21,5;1121;0;0;0;17,8;13,3;22,1;298;0;1121;11;PRI;;0;0;0;1;1;1;0;0;-;-;-;-;;;;-
06/11/2022;FINAL DE SEMANA;;10,2;10,2;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22,1;1120;0;10;10;18,5;14,4;22,2;330;0;1120;11;PRI;;0;0,2;10,2;1;1;1;0;0;-;-;1;1;;;;>0
07/11/2022;;16:30;14;24,2;7,7;;;;7,6;250;;;;238;22;;;;22,1;2,99;;;;3,33;0,34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21,5;634;0;14;24;17,9;14,9;22,1;248;0;1058;11;PRI;11/07/2022 16:30;0;0;0,2;1;1;1;0;0;-;-;1;1;;;;>0
08/11/2022;;09:00;0,2;24,4;7;;;;7,1;255;;;;259;22;;;;22,1;3,27;;;;2,99;-0,28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;942;0;0;24;19,1;16,5;23;303;0;962;11;PRI;11/08/2022 09:00;0;0;0;1;1;1;0;0;-;-;1;1;;;;>0
09/11/2022;;09:30;0,2;14,4;6,6;;;;7,1;270;;;;248;22,5;;;;22,1;3,43;;;;2,41;-1,02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23,2;648;0;0;14;18,2;12,7;23,2;236;0;1021;11;PRI;11/09/2022 09:30;0;0;0;1;1;1;0;0;-;-;1;1;;;;>0
